sentence_number	batch_bertscore	prompt_bertscore	temp_bertscore	bertscore_f1	batch_chrf	prompt_chrf	temp_chrf	CHRF	batch_comet	prompt_comet	temp_comet	COMET
27	1.0	prompt3	0.15	0.9999999403953552	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9837085604667664
28	1.0	prompt4	0.6	0.8772246837615967	1.0	prompt4	0.6	66.65084633448322	1.0	prompt4	0.6	0.9348390698432922
29	1.0	prompt3	0.15	1.000000238418579	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9875254034996033
30	1.0	prompt3	0.15	0.9999997615814208	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9859870076179504
31	1.0	prompt3	0.15	1.0000001192092896	1.0	prompt3	0.15	100.0	5.0	prompt3	0.45	0.9899653792381288
32	1.0	prompt4	0.6	0.8849140405654907	1.0	prompt4	0.6	69.78557641800109	1.0	prompt4	0.6	0.9127894043922424
33	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9943715929985046
34	1.0	prompt1	0.15	0.991323709487915	1.0	prompt1	0.15	92.73974679041366	5.0	prompt0	0.45	0.9435708522796632
35	1.0	prompt2	0.45	0.9325953125953674	3.0	prompt1	0.75	76.58926328328657	5.0	prompt4	0.3	0.94148987531662
36	4.0	prompt3	0.45	0.960172712802887	4.0	prompt3	0.45	77.2124422984986	2.0	prompt4	0.6	0.8065428137779236
37	1.0	prompt2	0.0	1.0	1.0	prompt2	0.0	100.0	1.0	prompt2	0.0	0.9835573434829712
38	1.0	prompt3	0.6	0.9601547122001648	1.0	prompt3	0.6	87.5266113094671	5.0	prompt1	0.15	0.9335407614707948
39	1.0	prompt3	0.15	0.8167906999588013	2.0	prompt0	0.75	54.38451622791883	1.0	prompt3	0.15	0.8479206562042236
40	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9866815805435181
41	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9891265630722046
42	1.0	prompt3	0.15	0.7587573528289795	1.0	prompt3	0.15	62.06647041588435	1.0	prompt3	0.15	0.8396087884902954
43	1.0	prompt3	0.15	0.9999998807907104	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9898729920387268
44	1.0	prompt3	0.15	0.9999998807907104	1.0	prompt3	0.15	100.0	5.0	prompt3	0.45	0.990500032901764
45	1.0	prompt4	0.6	0.8849140405654907	1.0	prompt4	0.6	69.78557641800109	1.0	prompt4	0.6	0.9127894043922424
46	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9943715929985046
47	1.0	prompt1	0.6	1.0000001192092896	1.0	prompt1	0.6	100.0	1.0	prompt1	0.6	0.9578225612640381
48		prompt0	0.0	0.9607692360877993	1.0	prompt3	0.15	76.00004297523994	1.0	prompt3	0.15	0.9458139538764954
49	1.0	prompt3	0.15	0.8871914148330688	1.0	prompt3	0.15	71.23902402413714	1.0	prompt3	0.15	0.8913924098014832
50	1.0	prompt2	0.0	1.0	1.0	prompt2	0.0	100.0	1.0	prompt2	0.0	0.9835573434829712
51	3.0	prompt1	0.6	0.901671290397644	3.0	prompt1	0.6	50.8037833672673	1.0	prompt2	0.6	0.9287405610084534
52	1.0	prompt0	0.6	0.8956812024116516	1.0	prompt0	0.6	63.71625820035379	1.0	prompt0	0.6	0.885474443435669
53	1.0	prompt3	0.15	0.9572315216064452	1.0	prompt3	0.15	73.17088515377122	5.0	prompt3	0.45	0.9673736691474916
54	1.0	prompt3	0.15	0.936147928237915	1.0	prompt3	0.15	67.76472852709833	1.0	prompt3	0.15	0.9446495175361633
55	1.0	prompt3	0.15	0.9282710552215576	1.0	prompt3	0.15	67.90699213432762	1.0	prompt3	0.15	0.9443936347961426
56	1.0	prompt0	0.75	0.9014350175857544	1.0	prompt0	0.75	57.70938835083934	5.0	prompt3	0.75	0.9269421696662904
57	1.0	prompt4	0.6	0.8849140405654907	1.0	prompt4	0.6	69.78557641800109	1.0	prompt4	0.6	0.9127894043922424
58	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9943715929985046
59	5.0	prompt1	0.6	0.9299092292785645	5.0	prompt1	0.6	80.3230234820979	3.0	prompt0	0.45	0.9061874151229858
60	1.0	prompt1	0.45	0.7605740427970886	1.0	prompt0	0.0	21.252745917906037	5.0	prompt0	0.45	0.5892996788024902
61	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9810548424720764
62	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	5.0	prompt3	0.45	0.9905698895454408
63	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9877201914787292
64	1.0	prompt3	0.15	0.9276845455169678	1.0	prompt3	0.15	62.80962491153574	1.0	prompt3	0.15	0.8611641526222229
65	1.0	prompt4	0.6	0.8849140405654907	1.0	prompt4	0.6	69.78557641800109	1.0	prompt4	0.6	0.9127894043922424
66	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9943715929985046
67	2.0	prompt0	0.6	0.9654473662376404	2.0	prompt0	0.6	70.33100460467027	2.0	prompt0	0.6	0.9590843319892884
68	3.0	prompt0	0.6	0.8655085563659668	3.0	prompt0	0.6	57.28392580599031	1.0	prompt4	0.6	0.8410291075706482
69	5.0	prompt2	0.75	0.8562147617340088	5.0	prompt2	0.75	55.74770456067728	5.0	prompt2	0.75	0.6914562582969666
70	1.0	prompt3	0.15	0.9999999403953552	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9907765984535217
71	4.0	prompt3	0.75	0.961823046207428	4.0	prompt3	0.75	90.88740645355882	4.0	prompt3	0.75	0.9525101780891418
72	1.0	prompt3	0.15	1.0	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9750762581825256
73	1.0	prompt3	0.15	0.9999999403953552	1.0	prompt3	0.15	100.0	1.0	prompt3	0.15	0.9916960597038269
